Lokal      	Galactic     	Teta            	R +- err
         	"NGC4607	"	1.0868589832483833	21.442+-0.108
         	"IC2996	"	1.0046842720879352	21.442+-0.108
         	"IC0755	"	1.0028898175089493	21.442+-0.108
         	"ESO544-027	"	1.1313338891777274	21.442+-0.108
         	"IC2560	"	1.0493327392991298	21.442+-0.108
         	"NGC4501	"	1.0013548379047355	21.442+-0.108
         	"NGC3149	"	1.055076143275029	21.442+-0.108
         	"NGC3769	"	1.1074023938441602	21.442+-0.108
         	"NGC0949	"	1.125131078884191	21.442+-0.108
         	"IC0540	"	1.0118960978945921	21.442+-0.108
         	"PGC063566	"	1.0353557738440045	21.442+-0.108
         	"NGC3795	"	1.0195449123118907	21.442+-0.108
         	"NGC3347	"	1.0048112822167587	21.442+-0.108
         	"NGC0150	"	1.021364477119034	21.442+-0.108
         	"NGC4639	"	1.031404634990719	21.442+-0.108
         	"NGC5879	"	1.5758631704070671	21.442+-0.108
         	"NGC6764	"	1.2865454427663578	21.442+-0.108
         	"NGC7188	"	1.021894114078356	21.442+-0.108
         	"NGC6384	"	1.000003886104555	21.442+-0.108
         	"NGC2442	"	1.5334822900028096	21.442+-0.108
         	"NGC3259	"	1.1377421505796583	21.442+-0.108
         	"NGC7421	"	1.1657135338512097	21.442+-0.108
         	"NGC1090	"	1.8131277070373353	21.442+-0.108
         	"NGC4595	"	1.3285023242035512	21.442+-0.108
         	"UGC11933	"	1.0300250495719636	21.442+-0.108
         	"NGC5577	"	1.309486702545566	21.442+-0.108
         	"NGC3715	"	1.000841237106727	21.442+-0.108
         	"PGC1475910	"	1.1216765744432386	21.442+-0.108
         	"UGC04393	"	1.047448086429423	21.442+-0.108
         	"UGC03343	"	1.4092150277084874	21.442+-0.108
         	"PGC078144	"	1.03309607083099	21.442+-0.108
         	"NGC5348	"	1.0736471865348494	21.442+-0.108
         	"IC2007	"	1.0150093678967518	21.442+-0.108
         	"NGC5356	"	1.0941831567919962	21.442+-0.108
         	"IC5039	"	1.0053660329966652	21.442+-0.108
         	"NGC1886	"	1.0002748689683825	21.442+-0.108
         	"ESO505-008	"	1.2091242786483896	21.442+-0.108
         	"ESO572-008	"	1.011516756975802	21.442+-0.108
         	"NGC3887	"	1.0503848111709722	21.442+-0.108
         	"NGC7331	"	1.2010007320319003	21.442+-0.108
         	"NGC2978	"	1.4787759641386868	21.442+-0.108
         	"NGC1414	"	1.160521033176736	21.442+-0.108
         	"IC0610	"	1.0108863175724787	21.442+-0.108
