   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 23011  GRB180720B  51705.261  14:21:45.261      125s   5.43E-4        -0.26E-4        +0.26E-4   +15.168    0.064  9.70E-5   -0.52E-5   +0.52E-5   451        -45        +52  triggered        0.654 
 22927  GRB180703A  75705.256  21:01:45.256       50s    4.1E-5         -1.0E-5         +1.0E-5    +1.728    0.064   4.1E-5    -1.0E-5    +1.0E-5   367       -136       +196  triggered           -- 
 22914  GRB180703B  82008.633  22:46:48.633      2.0s    6.4E-6         -0.4E-6         +0.4E-6    +1.088    0.064   6.4E-6    -0.4E-6    +0.4E-6   131         -9        +11  triggered           -- 
 22868  GRB180626C  33832.424  09:23:52.424     340ms   6.13E-7        -1.15E-7        +2.18E-7    -0.032    0.016  7.87E-6   -2.06E-6   +3.15E-6   406       -113       +225  triggered           -- 
 22866  GRB180626B   6442.786  01:47:22.786      0.3s   7.69E-7        -1.24E-7        +1.35E-7    +0.004    0.016  7.35E-6   -2.79E-6   +3.01E-6   218        -43        +60  triggered           -- 
 22856  GRB180623A  60141.775  16:42:21.775      114s   3.15E-5        -0.24E-5        +0.28E-5    +2.208    0.064  2.94E-6   -0.98E-6   +1.01E-6   233        -33        +48  triggered           -- 
 22825  GRB180620B  57039.332  15:50:39.332      260s   1.19E-5        -0.12E-5        +0.14E-5    -0.056    0.064  1.52E-6   -0.61E-6   +0.72E-6   118        -16        +23  triggered       1.1175 
 22824  GRB180620A  30906.173  08:35:06.173       16s   9.80E-6        -1.02E-6        +1.74E-6    +7.504    0.064  2.69E-6   -0.82E-6   +0.94E-6   164        -24        +29  triggered           -- 
 22822  GRB180618A   2591.201  00:43:11.201    0.250s   6.24E-6        -1.13E-6        +1.20E-6    -0.010    0.016  5.60E-5   -1.83E-5   +1.88E-5  2461       -565       +788  triggered           -- 
 22770  GRB180611A  12541.046  03:29:01.046        7s   4.61E-6        -0.56E-6        +0.72E-6    +0.148    0.064  4.61E-6   -0.56E-6   +0.72E-6   250        -47        +77  triggered           -- 
 22750  GRB180529A  30554.458  08:29:14.458      1.7s   1.08E-5        -0.22E-5        +0.30E-5    +0.446    0.016  1.65E-5   -0.61E-5   +0.71E-5  1046       -295       +502  triggered           -- 
 22746  GRB180526A  39816.006  11:03:36.006       87s   1.12E-4        -0.13E-4        +0.13E-4   +42.048    0.064  1.61E-5   -0.28E-5   +0.29E-5   207        -31        +38  triggered           -- 
 22743  GRB180523A  66028.802  18:20:28.802       35s   1.06E-4        -0.08E-4        +0.08E-4   +12.368    0.064  1.11E-5   -0.22E-5   +0.22E-5   307        -17        +18  triggered           -- 
 22722  GRB180510A  69881.488  19:24:41.488     23.5s   1.07E-5        -0.14E-5        +0.21E-5    -0.064    0.064  3.53E-6   -1.13E-6   +1.18E-6   237        -56       +126  triggered           -- 
 22680  GRB180427A  38222.928  10:37:02.928     34.5s   5.09E-5        -0.19E-5        +0.21E-5    +5.024    0.064  4.93E-6   -0.81E-6   +0.81E-6   116         -4         +4  triggered           -- 
